rozmiar,liczba_it,temp,nr_schematu,nr_permutacji,jakosc_wyniku
323,5805,5805,1,1,0.6421307506053269
323,5805,5805,1,2,0.6421307506053269
323,5805,5805,2,0,0.6421307506053269
323,5805,5805,2,1,0.6421307506053269
323,5805,5805,2,2,0.6421307506053269
323,5805,104329,0,0,0.6421307506053269
323,5805,104329,0,1,0.6421307506053269
323,5805,104329,0,2,0.6421307506053269
323,5805,104329,1,0,0.6421307506053269
323,5805,104329,1,1,0.6421307506053269
323,5805,104329,1,2,0.6421307506053269
323,5805,104329,2,0,0.6421307506053269
323,5805,104329,2,1,0.6421307506053269
323,5805,104329,2,2,0.6421307506053269
323,104329,6460,0,0,0.6421307506053269
323,104329,6460,0,1,0.6421307506053269
323,104329,6460,0,2,0.6421307506053269
323,104329,6460,1,0,0.6421307506053269
323,104329,6460,1,1,0.6421307506053269
323,104329,6460,1,2,0.6421307506053269
323,104329,6460,2,0,0.6421307506053269
323,104329,6460,2,1,0.6421307506053269
323,104329,6460,2,2,0.6421307506053269
323,104329,5805,0,0,0.6421307506053269
323,104329,5805,0,1,0.6421307506053269
323,104329,5805,0,2,0.6421307506053269
323,104329,5805,1,0,0.6421307506053269
323,104329,5805,1,1,0.6421307506053269
323,104329,5805,1,2,0.6421307506053269
323,104329,5805,2,0,0.6421307506053269
323,104329,5805,2,1,0.6421307506053269
323,104329,5805,2,2,0.6421307506053269
323,104329,104329,0,0,0.6421307506053269
323,104329,104329,0,1,0.6421307506053269
323,104329,104329,0,2,0.6421307506053269
323,104329,104329,1,0,0.6421307506053269
323,104329,104329,1,1,0.6421307506053269
323,104329,104329,1,2,0.6421307506053269
323,104329,104329,2,0,0.6421307506053269
323,104329,104329,2,1,0.6421307506053269
323,104329,104329,2,2,0.6421307506053269
